Instance,Cost,Bound,Opt,Time,NodesExpanded,NodesGenerated
MOM-instances\INSTANCES\5eil51.gtsp,75,75,True,0.0368152,2724,3800
MOM-instances\INSTANCES\10eil51.gtsp,145,145,True,1.1138983,78814,109700
MOM-instances\INSTANCES\15eil51.gtsp,201,201,True,47.3301264,2305938,2937647
MOM-instances\INSTANCES\5berlin52.gtsp,2065,2065,True,0.114197,9309,12413
MOM-instances\INSTANCES\10berlin52.gtsp,3223,3223,True,2.339913,150073,205709
MOM-instances\INSTANCES\15berlin52.gtsp,4691,4691,True,39.7633147,1520883,2080548
MOM-instances\INSTANCES\5st70.gtsp,103,103,True,0.0557036,2734,3987
MOM-instances\INSTANCES\10st70.gtsp,211,211,True,2.5653211,119856,156477
MOM-instances\INSTANCES\15st70.gtsp,248,248,True,10.1247016,408322,542637
MOM-instances\INSTANCES\5eil76.gtsp,74,74,True,0.1107082,5204,7146
MOM-instances\INSTANCES\10eil76.gtsp,127,127,True,6.4884048,251829,335026
MOM-instances\INSTANCES\15eil76.gtsp,186,186,True,170.1299897,4745269,6122773
MOM-instances\INSTANCES\5pr76.gtsp,19246,19246,True,0.1535788,10364,14320
MOM-instances\INSTANCES\10pr76.gtsp,35795,35795,True,11.8988376,484844,631248
MOM-instances\INSTANCES\15pr76.gtsp,52156,52156,True,151.7438107,4456086,5632951
MOM-instances\INSTANCES\10rat99.gtsp,324,324,True,19.0095594,522721,717873
MOM-instances\INSTANCES\25rat99.gtsp,509,422,False,1210.486274,18879523,57913379
MOM-instances\INSTANCES\50rat99.gtsp,900,624,False,1203.321616,16331175,70474133
MOM-instances\INSTANCES\25kroA100.gtsp,10429,8502,False,1209.244582,18591767,53149707
MOM-instances\INSTANCES\50kroA100.gtsp,16411,11240,False,1203.195247,17808296,79433431
MOM-instances\INSTANCES\10kroB100.gtsp,5920,5920,True,13.2807629,448697,595100
MOM-instances\INSTANCES\50kroB100.gtsp,16365,12131,False,1203.243803,15470253,66601117
MOM-instances\INSTANCES\25eil101.gtsp,237,172,False,1208.279372,19142470,59339676
MOM-instances\INSTANCES\50eil101.gtsp,436,310,False,1204.094452,23337545,98602214
MOM-instances\INSTANCES\25lin105.gtsp,8392,6540,False,1210.279127,22283014,65454002
MOM-instances\INSTANCES\50lin105.gtsp,12269,7748,False,1205.503698,23680857,89029245
MOM-instances\INSTANCES\75lin105.gtsp,13914,8636,False,1202.057658,21070862,90587440
MOM-instances\INSTANCES\5i30-17.gtsp,1180,1180,True,0.0153711,1224,1538
MOM-instances\INSTANCES\7i30-17.gtsp,1743,1743,True,0.0334727,3596,4919
MOM-instances\INSTANCES\10i30-17.gtsp,1528,1528,True,0.1545009,16419,21299
MOM-instances\INSTANCES\5i45-18.gtsp,939,939,True,0.0324077,2553,3548
MOM-instances\INSTANCES\7i45-18.gtsp,1289,1289,True,0.1140053,7824,11134
MOM-instances\INSTANCES\10i45-18.gtsp,1631,1631,True,0.7602532,59069,74644
MOM-instances\INSTANCES\5i60-21.gtsp,1322,1322,True,0.0508194,2800,4031
MOM-instances\INSTANCES\7i60-21.gtsp,1652,1652,True,0.372734,22171,28426
MOM-instances\INSTANCES\10i60-21.gtsp,1798,1798,True,1.7624162,109689,141497
MOM-instances\INSTANCES\5i65-21.gtsp,1363,1363,True,0.0791661,4425,5951
MOM-instances\INSTANCES\7i65-21.gtsp,1674,1674,True,0.4572115,26181,35651
MOM-instances\INSTANCES\10i65-21.gtsp,1756,1756,True,2.5132676,144626,198096
MOM-instances\INSTANCES\5i70-21.gtsp,1404,1404,True,0.0909179,4866,6654
MOM-instances\INSTANCES\7i70-21.gtsp,1716,1716,True,0.5882213,30195,42334
MOM-instances\INSTANCES\10i70-21.gtsp,1784,1784,True,4.8577789,244074,324729
MOM-instances\INSTANCES\5i75-22.gtsp,2063,2063,True,0.2447258,10230,13556
MOM-instances\INSTANCES\10i75-22.gtsp,2783,2783,True,6.4496673,279603,398986
MOM-instances\INSTANCES\5i90-33.gtsp,1212,1212,True,0.4837264,19918,27540
MOM-instances\INSTANCES\5i120-46.gtsp,1042,1042,True,0.6035549,18563,27232
MOM-instances\INSTANCES\10i90-33.gtsp,1570,1570,True,13.4950084,504927,684584
MOM-instances\INSTANCES\10i120-46.gtsp,2412,2412,True,34.7882023,979751,1276593
MOM-instances\INSTANCES\4eil51-2x2.gtsp,37,37,True,0.0053879,154,199
MOM-instances\INSTANCES\9eil51-3x3.gtsp,142,142,True,0.7636409,53154,68809
MOM-instances\INSTANCES\12eil51-3x4.gtsp,163,163,True,2.8143175,175811,241688
MOM-instances\INSTANCES\16eil51-4x4.gtsp,176,176,True,11.3893032,754924,992657
MOM-instances\INSTANCES\20eil51-4x5.gtsp,219,219,True,215.0393365,12674754,16347655
MOM-instances\INSTANCES\25eil51-5x5.gtsp,252,242,False,1200.196262,52764964,96811350
MOM-instances\INSTANCES\4berlin52-2x2.gtsp,534,534,True,0.0102739,499,650
MOM-instances\INSTANCES\6berlin52-2x3.gtsp,2360,2360,True,0.1236163,9501,12013
MOM-instances\INSTANCES\8berlin52-2x4.gtsp,2666,2666,True,0.3799077,28806,38640
MOM-instances\INSTANCES\10berlin52-2x5.gtsp,3185,3185,True,0.8989855,77698,105595
MOM-instances\INSTANCES\6st70-2x3.gtsp,133,133,True,0.2178225,11789,16774
MOM-instances\INSTANCES\9st70-3x3.gtsp,188,188,True,1.0953186,60594,80260
MOM-instances\INSTANCES\12st70-3x4.gtsp,209,209,True,3.5562584,186458,261863
MOM-instances\INSTANCES\16st70-4x4.gtsp,256,256,True,120.5305968,5206596,6805180
MOM-instances\INSTANCES\20st70-4x5.gtsp,296,296,True,384.0794407,16065081,21977565
MOM-instances\INSTANCES\4eil76-2x2.gtsp,27,27,True,0.0049556,95,153
MOM-instances\INSTANCES\9eil76-3x3.gtsp,120,120,True,1.5396072,71064,99133
MOM-instances\INSTANCES\12eil76-3x4.gtsp,152,152,True,7.7132942,323360,449704
MOM-instances\INSTANCES\16eil76-4x4.gtsp,201,201,True,118.636411,4697325,6010144
MOM-instances\INSTANCES\20eil76-4x5.gtsp,219,219,True,784.6019109,29139118,39758347
MOM-instances\INSTANCES\25eil76-5x5.gtsp,255,231,False,1211.098324,34493575,83546510
MOM-instances\INSTANCES\4pr76-2x2.gtsp,4552,4552,True,0.0042865,90,139
MOM-instances\INSTANCES\6pr76-2x3.gtsp,15729,15729,True,0.1119014,5687,7914
MOM-instances\INSTANCES\9pr76-3x3.gtsp,30846,30846,True,2.5790258,138794,191870
MOM-instances\INSTANCES\12pr76-3x4.gtsp,36631,36631,True,26.8158647,1183374,1597079
MOM-instances\INSTANCES\15pr76-3x5.gtsp,40201,40201,True,148.3162155,5986717,8115308
MOM-instances\INSTANCES\18pr76-3x6.gtsp,44135,42710,False,1208.824899,39610093,56724766
MOM-instances\INSTANCES\25rat99-5x5.gtsp,482,383,False,1214.55367,24176377,79357566
MOM-instances\INSTANCES\42rat99-6x7.gtsp,688,514,False,1207.395025,23542662,99215379
MOM-instances\INSTANCES\28kroA100-4x7.gtsp,10606,7301,False,1211.17494,23739906,86203457
MOM-instances\INSTANCES\30kroB100-5x6.gtsp,11551,7797,False,1201.022392,23693509,84601087
MOM-instances\INSTANCES\35kroB100-5x5.gtsp,9808,7574,False,1204.187656,18241730,55584949
MOM-instances\INSTANCES\9eil101-3x3.gtsp,137,137,True,3.9441236,145735,208544
MOM-instances\INSTANCES\25eil101-5x5.gtsp,252,201,False,1214.655785,19696804,60389764
MOM-instances\INSTANCES\36eil101-6x6.gtsp,303,240,False,1204.80547,17645912,70053584
MOM-instances\INSTANCES\2lin105-2x1.gtsp,126,126,True,0.0009773,3,36
MOM-instances\INSTANCES\16lin105-4x4.gtsp,5959,5959,True,560.819279,11951145,16466156
